name,LM Main Class,LM Subclass
Plasmenyl-PC(P-16:1/24:0),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-18:0/18:1),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-18:0/20:4),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-18:0/22:4),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-18:0/22:5),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-18:0/22:6),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-18:1/18:2),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-18:1/20:4),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-18:1/21:0),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-18:1/22:4),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-20:1/18:1),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-22:0/16:0),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-22:0/20:4),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PC(P-24:0/18:2),Glycerophosphocholines,"1-(1Z-alkenyl),2-acylglycerophosphocholines"
Plasmenyl-PE(P-16:0/16:0),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-16:0/16:1),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-16:0/18:1),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-16:0/18:2),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-16:0/20:1),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-16:0/20:3),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-16:0/20:4),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
Plasmenyl-PE(P-16:0/20:5),Glycerophosphoethanolamines,"1-(1Z-alkenyl),2-acylglycerophospho-ethanolamines"
